locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url
Szczecin Centrum,ul. Monte Cassino,3,79,870000,11013,Bez pośredników,ponad tydzień temu,20,https://adresowo.pl/o/mieszkanie-szczecin-centrum-ul-monte-cassino-3-pokojowe-w0p5d5,https://s2.adresowa.pl/oi/55/10/3a40f4_2d12_cover-3-pokojowe-mieszkanie-szczecin-centrum-ul-monte-cassino.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Szczecin Prawobrzeże,ul. Seledynowa,2,48,449000,9354,Bez pośredników,ponad tydzień temu,4,https://adresowo.pl/o/mieszkanie-szczecin-prawobrzeze-ul-seledynowa-2-pokojowe-r6g6l1,https://s2.adresowa.pl/oi/3c/55/3a3f58_552a_cover-2-pokojowe-mieszkanie-szczecin-prawobrzeze-ul-seledynowa.jpg
Szczecin Centrum,ul. Władysława Łokietka,3,86,490000,5698,Bez pośredników,ponad tydzień temu,8,https://adresowo.pl/o/mieszkanie-szczecin-centrum-ul-wladyslawa-lokietka-3-pokojowe-g7h9t9,https://s2.adresowa.pl/oi/78/5d/3a3f84_ca7c_cover-3-pokojowe-mieszkanie-szczecin-centrum-ul-wladyslawa-lokietka.jpg
Szczecin,,4,62,545000,8790,Oferta biura nieruchomości,ponad miesiąc temu,13,https://adresowo.pl/o/mieszkanie-szczecin-4-pokojowe-62-m2-v9v6g6,https://s2.adresowa.pl/oi/35/21/39ca04_7b84_cover-4-pokojowe-mieszkanie-szczecin.jpg
Szczecin Centrum,,1,30,388000,12805,Oferta biura nieruchomości,ponad miesiąc temu,16,https://adresowo.pl/o/mieszkanie-szczecin-centrum-1-pokoj-30-m2-a5j7p3,https://s2.adresowa.pl/oi/76/3c/39c528_b7a0_cover-1-pokojowe-mieszkanie-szczecin-centrum.jpg
Szczecin Warszewo,ul. Duńska,2,50,570000,11400,Bez pośredników,ponad tydzień temu,4,https://adresowo.pl/o/mieszkanie-szczecin-warszewo-ul-dunska-2-pokojowe-j2c7j3,https://s2.adresowa.pl/oi/2d/2d/3a3d90_2e4f_cover-2-pokojowe-mieszkanie-szczecin-warszewo-ul-dunska.jpg
Szczecin Niebuszewo,,2,40,395000,9885,Bez pośredników,ponad tydzień temu,19,https://adresowo.pl/o/mieszkanie-szczecin-niebuszewo-2-pokojowe-39-m2-g3q8f5,https://s2.adresowa.pl/oi/4e/7f/3a3cf8_dd2e_cover-2-pokojowe-mieszkanie-szczecin-niebuszewo.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Szczecin Centrum,ul. Władysława Sikorskiego,2,48,495000,10414,Bez pośredników,ponad tydzień temu,8,https://adresowo.pl/o/mieszkanie-szczecin-centrum-ul-wladyslawa-sikorskiego-2-pokojowe-y3z7f9,https://s2.adresowa.pl/oi/1e/6f/3a3cb4_981f_cover-2-pokojowe-mieszkanie-szczecin-centrum-ul-wladyslawa-sikorskiego.jpg
Szczecin Niebuszewo,ul. Myśliwska,3,60,549000,9227,Oferta biura nieruchomości,ponad miesiąc temu,9,https://adresowo.pl/o/mieszkanie-szczecin-niebuszewo-ul-mysliwska-3-pokojowe-s7x7h5,https://s2.adresowa.pl/oi/3d/5e/39c4ea_58c5_cover-3-pokojowe-mieszkanie-szczecin-niebuszewo-ul-mysliwska.jpg
Szczecin Kępa Parnicka,ul. Leona Heyki,2,48,643140,13500,Oferta biura nieruchomości,ponad miesiąc temu,9,https://adresowo.pl/o/mieszkanie-szczecin-kepa-parnicka-ul-leona-heyki-2-pokojowe-r8f7s4,https://s2.adresowa.pl/oi/4d/7c/39befc_35bf_cover-2-pokojowe-mieszkanie-szczecin-kepa-parnicka-ul-leona-heyki.jpg
Szczecin Śródmieście,al. Wyzwolenia,3,65,619000,9523,Bez pośredników,ponad tydzień temu,17,https://adresowo.pl/o/mieszkanie-szczecin-srodmiescie-al-wyzwolenia-3-pokojowe-u2a9z7,https://s2.adresowa.pl/oi/56/5d/3a3756_9392_cover-3-pokojowe-mieszkanie-szczecin-srodmiescie-al-wyzwolenia.jpg
